City,population,urbanization_pct,Mall Count,malls_per_capita,state_name,nsdp_per_capita,population_score,urbanization_pct_score,nsdp_per_capita_score,saturation_score
Coimbatore,3459471,75.7,3,0.08671846071263496,Tamil Nadu,361619,45.666368689843914,92.47846889952154,100.0,98.94936920523983
Indore,1284275,33.89,6,0.46718965953553565,Madhya Pradesh,152615,0.0,12.459330143540672,17.405067042881363,0.0
Jaipur,4343589,27.38,10,0.23022436054608297,Rajasthan,185053,64.22766548945528,0.0,30.22402952811138,61.62770514845625
Lucknow,4589838,66.21,12,0.26144713604270997,Uttar Pradesh,108572,69.39745139541749,74.3157894736842,0.0,53.507579499560215
Nagpur,4653570,68.31,5,0.10744439215484027,Maharashtra,309340,70.7354499065131,78.33492822966508,79.34020162262347,93.55916398407706
Surat,6047509,79.63,5,0.08267866984571665,Gujarat,272451,100.0,100.0,64.76227736349374,100.0
